agua 	54702
parece 	54554
haber	54150
situación	54020
fuera	53979
bajo	53243
grandes 	52362
nuestra	52321
ejemplo 	51803
acuerdo 	51485
habían	50397
usted	50073
estados 	49814
hizo	49733
nadie	49689
países	49445
horas	49389
posible	49082
tarde	48963
ley	48945
importante	48397
guerra	48391
desarrollo	48378
proceso 	48064
realidad	47650
sentido	47559
lado	47315
mí	47248
tu	47057
cambio 	46814
allí	46771
mano 	46657
eran	46367
estar	46282
san 	46004
número 	45985
sociedad 	45974
unas 	45565
centro	45456
padre	45236
gente	45235
final	44920
relación	44617
cuerpo 	44470
obra	44308
incluso	44285
través	44212
último	44086
madre 	43697
mis 	43564
modo 	43478
problemas 	43295
cinco	43283
carlos	42834
hombres 	42544
información	42423
ojos	42371
muerte 	42341
nombre 	42284
algunas 	42223
público	42201
mujeres 	42094
siglo	41890
todavía	41792
meses  	41650
mañana  	41368
esos 	41184
nosotros	40870
hora	40581
muchas  	40566
pueblo	40425
alguna	40406
dar	40396
problema 	40295
don 	40224
da	40191
tú	40119
derecho 	39939
verdad	39924
maría	39812
unidos	39806
podría	39797
sería	39731
junto	39521
cabeza 	39451
aquel	39377
luis	39370
cuanto 	38519
tierra	38352
equipo	38214
segundo 	38160
director	38096
dicho	38074
cierto	37979
casos 	37796
manos  	37736
nivel	37419
podía	37403
familia	37376
largo	37315
partir	37278
falta	37196
llegar	37054
propio	36979
ministro	36337
cosa 	36267
primero	36232
seguridad	36054
hemos  	35988
mal 	35964
trata	35744
algún	35564
tuvo	35490
respecto	35394
semana  	35354
varios	35315
real	35222
sé	35154
voz	34982
paso 	34921
señor	34905
mil	34834
quienes 	34743
proyecto	34716
mercado 	34677
mayoría 	34634
luz	34617
claro	34589
iba	34380
éste	34338
pesetas 	34204
orden	33982
español 	33920
buena 	33759
quiere	33735
aquella	33723
programa 	33620
palabras	33485
internacional	33448
van	33398
esas 	33382
segunda 	33363
empresa 	33301
puesto 	33254
ahí	33248
propia	33149
m 	33099
libro	33056
igual	32950
político	32928
persona 	32756
últimos	32689
ellas	32635
total	32539
creo	32504
tengo	32413
dios	32373
c	32345
española 	32140
condiciones 	32094
méxico 	32084
fuerza	32082
solo	32010
único	31999
acción	31789
amor 	31690
policía	31598
puerta	31503
pesar	31436
zona 	31365
sabe 	31358
calle	31330
interior	31198
tampoco 	31014
música 	30968
ningún	30962
vista	30952
campo  	30775
buen 	30756
hubiera	30754
saber	30644
obras	30575
razón	30539
ex	30522
niños	30449
presencia	30426
tema 	30398
dinero	30386
comisión 	30350
antonio	30339
servicio	30318
hijo	30298
última	30269
ciento	30146
estoy	30136
hablar	30127
dio	30123
minutos 	30012
producción 	29875
camino 	29830
seis	29812
quién	29760
fondo	29750
dirección	29708
papel	29702
demás  	29623
barcelona	29613
idea	29613
especial	29458
diferentes	29378
dado 	29292
base 	29243
capital	29220
ambos  	29178
europa 	29171
libertad	29119
relaciones	29055
espacio 	28844
medios 	28828
ir	28757
actual	28719
población	28668
empresas  	28653
estudio	28640
salud	28630
servicios	28547
haya 	28528
principio	28476
siendo	28468
cultura	28382
anterior	28310
alto	28306
media 	28292
mediante 	28252
primeros	28193
arte	28165
paz 	28159
sector	28156
imagen 	28109
medida 	28101
deben 	28008
datos	28003
consejo 	27968
personal	27930
interés	27919
julio	27919
grupos 	27863
miembros  	27843
ninguna 	27822
existe	27779
cara	27756
edad 	27731
etc	27709
movimiento 	27696
visto	27677
llegó	27556
puntos 	27488
actividad	27283
bueno 	27256
uso 	27235
niño	27157
difícil	27109
joven	27024
futuro	26989
aquellos	26975
mes 	26958
pronto	26934
soy 	26903
hacía	26850
nuevos 	26828
nuestros	26789
estaban 	26694
posibilidad	26611
sigue	26580
cerca	26495
resultados	26413
educación 	26327
atención	26299
gonzález 	26281
capacidad 	26228
efecto	26209
necesario	26149
valor	26106
aire	26060
investigación	26001
siguiente	25891
figura	25859
central	25780
comunidad  	25745
necesidad 	25699
serie	25677
organización	25647
nuevas 	25638
calidad	25597
economía 	25553
carácter	25528
jefe	25526
estamos 	25495
prensa 	25472
control	25219
sociales	25197
universidad	25155
militar	25150
cabo 	25125
diez	25114
fuerzas	25106
congreso 	25073
ésta	25041
hijos	24995
justicia	24983
mundial 	24963
dólares	24939
juego	24922
económica  	24845
políticos	24824
duda 	24821
recursos	24800
pública	24775
crisis	24760
próximo 	24728
tenemos 	24716
decisión	24685
varias	24657
popular	24543
tenido	24472
apenas 	24440
época 	24358
banco 	24341
presente	24211
menor 	24142
quiero	24054
pasar	24048
resultado	24030
televisión	23938
encuentra 	23833
gracias	23794
ministerio	23781
conjunto	23735
defensa 	23717
alguien	23626
queda 	23600
hacen 	23508
pasa 	23503
resto	23366
causa 	23283
seguir	23261
allá	23155
palabra	23090
voy	23067
cuya 	23048
vamos 	23036
mar 	23022
estudios	23011
derechos 	22989
importancia	22969
cuales	22961
contrario	22957
manuel 	22924
garcía	22851
fuerte	22828
sol	22823
jóvenes	22791
apoyo 	22776
habría	22760
civil	22758
miguel	22755
pedro	22738
partidos	22728
libre	22640
fuentes	22592
administración	22536
común  	22536
dejar	22499
cine	22492
salir	22447
comunicación 	22434
b	22407
experiencia	22402
demasiado  	22378
plan	22279
respuesta 	22259
energía	22241
izquierda	22232
función	22148
principal	22074
superior	22014
naturaleza	22002
podemos  	21958
unión	21933
especialmente 	21931
rey	21907
domingo 	21823
favor	21818
cantidad	21812
elecciones	21781
clase	21733
productos 	21731
españoles 	21693
conocer 	21681
teatro	21663
importantes	21597
evitar	21587
color	21575
actividades	21564
mesa 	21558
p	21518
decía	21458
cuyo 	21444
debido	21378
alta	21377
francisco	21361
secretario	21351
objeto	21336
quizá	21323
posición	21168
parecía	21152
natural	21146
elementos 	21133
hubo 	21112
objetivo	21097
formas 	21083
única	21076
pueda 	21061
origen	21055
blanco	21035
mismos  	21006
lleva	20947
económico  	20927
opinión	20927
ayuda 	20918
oficial	20905
silencio	20896
buenos 	20881
pensar 	20880
república	20854
dónde 	20846
sangre 	20798
encuentro 	20719
siquiera	20708
autor	20676
reunión	20609
haciendo 	20582
suelo	20565
muestra 	20563
viejo	20558
encima 	20522
resulta	20497
tomar 	20492
bastante	20488
siete	20483
lucha	20434
pudo 	20404
amigos 	20369
línea	20338
sur	20334
pocos 	20289
medidas 	20225
norte	20173
partes	20137
iglesia	20101
tratamiento	20030
existencia	19997
cargo	19935
grande 	19882
américa 	19874
boca 	19829
plaza	19792
pie	19780
trabajadores	19723
poner	19722
existen	19634
viene	19630
permite	19607
análisis	19554
argentina	19553
acto	19520
hechos 	19465
tiempos 	19394
políticas	19285
radio	19271
puedo 	19230
crecimiento	19202
francia	19193
compañía 	19178
amigo 	19176
autoridades	19175
realizar	19166
acciones 	19075
padres 	19075
diario	19064
ve	19059
derecha 	19049
ambiente 	19000
i	18980
habrá	18951
precisamente 	18930
enfermedad 	18927
especie 	18903
ejército	18900
santa	18890
cambios 	18886
río	18885
sabía	18873
seguro 	18856
espera 	18850
momentos  	18847
viaje	18834
quería	18827
ocho 	18818
vivir	18817
región	18771
formación	18743
escuela 	18722
cuarto	18721
valores	18677
quedó 	18674
participación	18598
éxito	18595
baja	18542
artículo	18504
principales	18490
fernando	18468
metros 	18468
marcha 	18427
régimen 	18382
consecuencia 	18358
conocimiento 	18346
corazón 	18331
campaña  	18261
estructura	18261
efectos	18253
finalmente	18231
modelo 	18221
carta	18218
construcción	18098
médico 	18083
miedo 	18049
mayores 	17976
entrada	17955
humanos  	17917
sean 	17892
actitud	17843
deja	17838
dejó	17827
d	17810
llevar	17798
negro	17774
texto	17714
mitad	17705
estuvo	17681
alrededor	17639
acerca 	17598
peso 	17589
humano  	17581
pequeño 	17577
fecha	17551
serán	17529
doctor	17526
ideas	17495
vino	17491
materia	17468
llega	17456
carrera	17451
cierta	17389
sola	17362
psoe 	17360
lejos	17339
juez	17328
características	17307
riesgo	17271
fácil	17205
diferencia	17178
cultural	17164
libros	17146
práctica	17142
mayo 	17123
nuestras	17121
programas 	17118
memoria 	17083
llegado	17052
plazo	16976
expresión	16966
diciembre	16954
mantener 	16948
enero	16929
volver	16898
cuadro 	16891
producto	16851
produce 	16845
europea 	16842
conciencia	16829
tenían	16811
atrás	16786
felipe	16782
creación	16777
chile	16768
precio	16767
película	16761
puerto	16749
fuego	16685
cuestión	16666
pasó 	16644
costa	16638
supuesto 	16637
local	16607
habla	16597
aspectos 	16569
cuba 	16565
sala	16524
cámara 	16523
vuelta	16521
vía	16508
mirada 	16481
mejores 	16443
informe	16436
unidad	16427
distintos	16415
suerte	16390
tales	16386
mira	16334
llamado 	16312
técnica	16308
título	16308
s	16293
principios	16282
octubre	16228
volvió	16207
período	16199
g	16194
encontrar	16166
democracia 	16159
aumento 	16145
fútbol	16137
prueba 	16113
consumo  	16095
pese 	16043
ocasiones 	16026
exterior	15988
solución	15967
u	15967
hija	15958
sueño 	15944
parís	15929
capaz 	15925
ocasión 	15924
industria	15902
adelante	15900
salida	15899
ciencia	15885
asunto 	15844
asociación	15835
puso 	15831
intereses	15830
oro	15811
podrá	15804
pregunta	15741
oposición	15736
entrar	15711
señora 	15705
señaló	15699
santiago	15697
dolor	15685
zonas 	15679
comercio 	15637
operación	15633
tribunal	15609
instituciones	15606
temas 	15569
militares	15566
junio	15555
marco 	15548
sectores	15541
hacerlo	15539
aspecto 	15528
razones 	15527
contenido	15481
juicio	15481
electoral	15465
considera	15460
tendrá	15431
mucha  	15397
voluntad	15394
dicen	15383
recuerdo	15382
socialista	15371
área	15369
aparece 	15367
vio	15334
cama 	15328
aun 	15317
presenta	15315
pp	15293
revolución	15285
busca 	15280
abril	15278
rodríguez	15272
fiscal	15265
lópez	15245
victoria	15241
violencia	15235
primeras	15226
pequeña 	15214
armas 	15153
debía	15149
ii	15123
esfuerzo	15109
humana  	15107
posibilidades	15090
centros	15076
profesional	15075
asimismo 	15048
grado	15048
has 	15027
toma 	15003
distintas	14926
material	14915
carne	14905
llama	14903
particular	14876
jorge	14867
trabajar	14837
propuesta 	14830
muerto 	14816
precios	14809
reforma	14779
hermano 	14736
corte	14735
comenzó  	14733
etapa	14716
obstante	14695
pone 	14685
diversos	14671
visita	14660
concepto 	14657
pacientes	14637
semanas  	14603
tipos	14592
solamente 	14520
deseo 	14499
sistemas 	14484
encuentran 	14482
siguientes	14475
martín	14429
suficiente	14414
marzo 	14408
propios	14404
jamás 	14371
dan 	14364
club	14359
instituto	14354
constitución	14299
curso	14290
lenguaje	14270
estilo	14237
rosa	14180
imposible	14178
pablo	14152
buscar 	14151
peor	14145
piel	14128
arriba	14085
generales	14073
septiembre 	14072
blanca	14061
r	14041
aquellas	13996
teoría	13935
animales 	13916
hicieron	13913
larga	13908
perdido	13890
imágenes 	13887
paciente	13885
conseguir	13871
máximo  	13855
noviembre 	13848
j	13831
líder	13830
hospital	13823
diversas	13816
rafael	13804
vuelve	13799
destino	13783
torno	13781
proyectos 	13773
flores	13763
niveles	13759
afirmó	13758
explicó	13751
n	13748
somos  	13727
términos	13719
premio 	13701
tercera	13694
